t,FL_hip_joint,FL_knee_joint,FL_ankle_joint,FR_hip_joint,FR_knee_joint,FR_ankle_joint,RL_hip_joint,RL_knee_joint,RL_ankle_joint,RR_hip_joint,RR_knee_joint,RR_ankle_joint
3.5995,0.0355,0.0150,-0.0047,0.0833,0.5437,0.6579,0.0742,0.0130,-0.0052,-0.2877,-0.0767,0.6106
3.6115,-0.0041,0.0054,0.0000,0.0013,0.0018,-0.0004,0.0018,0.0011,-0.0002,-0.0006,-0.0015,-0.0005
3.6227,-0.0251,0.0069,0.0025,-0.0619,0.0462,-0.0049,0.0677,0.0282,-0.0036,-0.0104,0.7030,0.9820
3.6365,-2.9996,-3.0147,2.9938,-0.3479,0.2008,-0.0544,0.2632,0.2722,-0.0227,2.9416,1.9529,2.8569
3.6519,0.3970,-1.5831,-0.0299,-0.1811,0.1024,-0.0177,0.1014,0.0696,-0.0075,-0.3719,2.9027,2.7260
3.6629,-0.0001,0.0000,-0.0001,0.0003,0.0005,0.0000,-0.0001,-0.0005,-0.0001,-0.0002,-0.0001,-0.0000
3.6739,0.0120,0.0112,-0.0014,-0.0602,0.0231,-0.0039,-0.9969,0.6447,1.0774,1.1838,0.4245,0.4277
3.6854,-0.4872,-0.8476,1.4735,-0.2100,0.1989,0.0097,0.1837,0.1598,-0.0008,0.8912,-2.6224,-1.2443
3.7011,-1.7128,1.3341,1.4770,-0.1310,0.0885,-0.0094,0.1199,0.0719,-0.0071,1.7435,-1.3839,0.1016
3.7544,0.0661,-1.2538,0.3726,-0.1534,0.1051,-0.0083,0.0894,0.0765,-0.0042,0.0854,0.8694,1.0831
3.7695,-0.3502,-0.0347,0.4005,-0.0945,0.0638,-0.0114,0.1787,0.0706,-0.0125,0.0543,1.3931,1.9323
3.7835,0.2829,-1.3141,0.1066,-0.1292,0.0906,-0.0096,0.1184,0.0749,-0.0075,-0.2902,1.5258,1.6081
3.7967,-0.5135,-1.2377,0.9948,-0.2101,0.1473,-0.0071,0.0029,0.0841,0.0027,1.1519,-1.2507,-0.6685
3.8104,0.2992,-1.3853,0.1038,-0.1352,0.0913,-0.0105,0.1197,0.0763,-0.0081,-0.2961,1.5632,1.6521
3.8260,-1.0254,1.2132,0.7373,-0.0636,0.0397,-0.0137,0.2314,0.0712,-0.0189,0.4718,1.1086,2.1606
3.8416,-1.8098,1.3503,1.6090,-0.1349,0.0891,-0.0113,0.1205,0.0749,-0.0090,1.8622,-1.5742,-0.0601
3.8533,-1.2605,2.8763,1.5462,-0.2034,0.0790,-0.0305,0.2212,-0.0332,-0.0268,0.8713,1.3515,2.9482
3.8677,0.3099,-1.4583,0.0751,-0.1383,0.0877,-0.0122,0.1163,0.0724,-0.0096,-0.2808,1.4960,1.5977
3.8790,-1.2307,2.5223,1.3904,-0.2321,0.0741,-0.0347,0.1551,-0.0452,-0.0227,1.0587,1.5007,2.9426
3.9170,0.3186,-1.5016,0.0598,-0.1414,0.0841,-0.0131,0.1141,0.0685,-0.0103,-0.2725,1.4644,1.5702
3.9269,-1.6533,2.8730,1.6776,-0.2390,0.0564,-0.0379,0.1677,-0.0497,-0.0249,1.4581,1.2701,2.9434
3.9422,0.3291,-1.5454,0.0433,-0.1451,0.0796,-0.0139,0.1114,0.0637,-0.0108,-0.2646,1.4335,1.5409
3.9622,-2.3594,2.8657,1.9661,0.0389,-0.0292,-0.0157,0.5795,0.0718,-0.0505,0.7880,0.7742,2.9304
3.9814,-0.1745,0.4274,0.6431,0.5861,-0.0189,0.0714,0.4285,-2.8261,2.2494,-0.8816,0.5575,-0.0055
4.0017,0.1483,0.1508,0.7302,-0.0400,0.0373,-0.0020,0.0273,-0.6999,0.0126,-0.0472,0.0342,-0.0005
4.0217,0.3880,0.1497,0.8186,-0.1987,0.0538,-0.0173,-0.0420,-0.0973,-0.0048,0.0550,-0.0355,-0.0017
4.0333,0.0691,0.0821,0.6437,-0.0169,0.0349,-0.0007,0.0557,-0.7034,-0.0548,-0.0463,0.0332,-0.0005
4.0445,-0.9121,-0.1847,0.8661,-0.3992,0.0721,-0.0365,2.9463,1.8753,2.8403,-0.6123,0.1261,-0.0342
4.0553,0.1237,0.0588,-0.0175,-0.1033,-0.0025,-0.0098,0.3756,2.6665,2.8627,-0.1444,0.0223,-0.0127
4.0928,0.6326,0.3627,-0.0518,1.6385,-2.9929,2.9568,-2.4901,1.5676,2.6758,-0.1311,0.1953,-0.0140
4.1030,0.0471,0.0277,-0.0040,0.0226,-0.3380,0.4163,-0.0487,-0.0156,0.0017,-0.0277,0.0021,-0.0039
4.1119,0.1498,0.1316,0.0001,0.7927,-1.0043,1.0052,-1.0951,-1.3758,-0.5170,-0.0852,0.1362,0.0022
4.1243,0.1132,0.0486,-0.0184,0.7671,1.2058,0.6971,-0.4266,1.4678,2.2382,-0.1537,0.0082,-0.0155
4.1350,0.0488,0.0265,-0.0004,-0.4067,-0.1311,0.3336,-0.0048,0.0227,-0.0009,0.3078,0.5484,0.9266
4.1453,0.1303,0.0564,-0.0205,-0.1263,-0.0071,-0.0136,0.3687,2.8419,2.9680,-0.1194,0.0062,-0.0145
4.1548,0.1307,0.0910,-0.0098,-0.1638,-1.1530,0.1867,0.2043,1.4359,1.5871,-0.1210,0.0737,-0.0075
4.1751,0.1489,0.1293,-0.0010,0.7242,-1.1829,0.9233,-1.0367,-1.3370,-0.5653,-0.0894,0.1370,0.0009
4.1911,0.1351,0.0921,-0.0102,-0.1472,-1.1900,0.2064,0.1701,1.3793,1.5539,-0.1196,0.0757,-0.0077
4.2020,0.1210,0.0577,-0.0194,0.8503,1.2559,0.8036,-0.5340,1.2897,2.1639,-0.1508,0.0181,-0.0163
4.2680,0.1359,0.0911,-0.0110,-0.1601,-1.2222,0.1868,0.1762,1.3772,1.5518,-0.1186,0.0744,-0.0085
4.2801,0.1245,0.0549,-0.0205,0.8769,1.2686,0.8394,-0.5728,1.2337,2.1307,-0.1497,0.0154,-0.0170
4.2924,0.1375,0.0887,-0.0121,1.7027,1.1912,1.5395,-1.7388,-1.4190,0.0054,-0.1172,0.0717,-0.0094
4.3045,0.2582,0.1361,-0.0248,0.1143,-0.0439,0.0105,-0.4063,1.9836,2.7762,-0.0695,0.0540,-0.0071
4.3144,0.1401,0.0858,-0.0129,-0.1717,-1.3002,0.1589,0.1606,1.3145,1.4972,-0.1149,0.0689,-0.0101
4.3248,0.2556,0.0712,-0.0376,1.2030,2.7851,1.5247,-1.0559,1.4586,2.9472,-0.1470,-0.0725,-0.0237
4.3367,0.1432,0.0817,-0.0137,-0.1757,-1.3410,0.1477,0.1469,1.2716,1.4577,-0.1125,0.0646,-0.0108
4.3465,-0.9230,-0.2179,0.0938,-0.6411,0.5505,0.0228,-0.1871,1.0755,0.6408,2.9303,-2.7364,2.8660
4.3564,0.0825,0.0307,-0.0070,-0.0433,0.3177,0.7430,0.0958,0.0263,-0.0051,-0.2917,-0.1484,0.6197
4.3673,0.0503,0.0158,-0.0065,0.0648,0.6161,0.7084,0.0848,0.0118,-0.0060,-0.3156,-0.0926,0.6595
4.4462,0.1153,0.0146,-0.0141,-0.0646,0.9082,0.8562,-0.1211,-0.0823,-0.0012,0.0285,-0.1145,-0.0055
4.4666,0.0357,0.0174,-0.0051,0.0815,0.5327,0.6556,0.0781,0.0145,-0.0052,-0.2961,-0.0909,0.5977
4.4784,0.1090,0.0119,-0.0138,-0.0402,0.8413,0.8459,-0.1213,-0.0815,-0.0010,0.0198,-0.1081,-0.0064
4.4898,0.0785,0.0018,-0.0083,-0.1280,0.0637,-0.0179,0.1314,0.0184,-0.0119,-0.2847,2.5969,2.8122
4.5009,-2.9975,-3.0062,3.0236,-0.2859,0.0915,-0.0709,0.0868,0.1349,-0.0254,2.9390,3.0387,2.8292
4.5130,0.6756,-1.6138,-0.2219,-0.1229,0.0717,-0.0134,0.1139,0.0562,-0.0083,-0.7934,2.9049,2.5071
4.5234,-0.1507,-0.6625,0.2634,0.0023,0.0135,-0.0002,0.0614,0.0501,-0.0024,0.0406,-0.0062,0.0030
4.5346,0.0466,0.0032,-0.0060,-0.0702,0.0305,-0.0060,-0.8011,0.6955,0.9410,0.8427,0.8343,0.9535
4.5448,-1.3102,-2.4246,2.4515,-0.6144,0.4449,-0.0084,0.0857,0.2692,0.0099,2.9395,-2.9729,-0.6366
4.5550,0.2953,-1.2837,0.1265,-0.1301,0.0878,-0.0095,0.1211,0.0717,-0.0072,-0.3184,1.6262,1.6752
4.6400,-0.3071,-1.1830,0.7876,-0.1923,0.1322,-0.0067,0.0296,0.0788,0.0007,0.7682,-0.4357,0.0261
4.6539,0.1318,-0.0067,-0.0147,-0.1283,0.0534,-0.0206,0.1065,0.0017,-0.0138,-0.3463,2.8664,2.9515
4.6665,0.2053,-1.6693,-0.1124,-0.1686,0.0845,-0.0208,-0.0066,0.0374,-0.0029,0.0305,2.4738,2.1239
4.6771,0.3071,-1.3901,0.0955,-0.1339,0.0921,-0.0102,0.1218,0.0785,-0.0079,-0.3104,1.5719,1.6520
4.6889,0.3091,-1.3985,0.0952,-0.1348,0.0912,-0.0105,0.1202,0.0765,-0.0081,-0.3080,1.5789,1.6610
4.7011,-0.6734,1.9853,1.1354,-0.1348,0.0694,-0.0165,0.2126,-0.0077,-0.0217,0.2954,0.7453,1.9484
4.7109,0.3130,-1.4322,0.0824,-0.1361,0.0901,-0.0113,0.1186,0.0753,-0.0088,-0.2998,1.5452,1.6360
4.7239,-1.2693,2.8761,1.5475,-0.2032,0.0791,-0.0304,0.2219,-0.0321,-0.0268,0.8791,1.3449,2.9479
4.7432,0.3186,-1.4693,0.0676,-0.1379,0.0875,-0.0122,0.1168,0.0727,-0.0096,-0.2917,1.5114,1.6081
4.7579,-1.4468,2.8633,2.1671,-0.1494,0.0615,-0.0265,0.4516,0.0119,-0.0445,0.4704,0.9668,2.9348
4.8289,0.2413,-1.3408,0.0900,-0.1480,0.0764,-0.0165,0.1239,0.0605,-0.0145,-0.2164,1.4301,1.5848
4.8376,-0.6909,-2.1774,0.4812,-0.1559,0.1124,-0.0103,0.0135,0.1513,-0.0007,1.2046,-0.8518,-0.5199
4.8477,0.3412,-1.5694,0.0334,-0.1439,0.0796,-0.0134,0.1110,0.0640,-0.0104,-0.2760,1.4411,1.5449
4.8576,0.1322,-0.0010,-0.0159,-0.1261,-0.0016,-0.0262,0.0750,-0.0439,-0.0153,-0.2988,2.8918,2.9524
4.8681,0.3486,-1.6003,0.0187,-0.1472,0.0746,-0.0140,0.1089,0.0588,-0.0109,-0.2687,1.4136,1.5166
4.8781,0.1124,0.1619,0.6987,-0.0320,0.0345,-0.0022,0.0549,-0.7016,0.0047,-0.0538,0.0341,-0.0011
4.8878,0.3825,0.1736,0.8083,-0.1948,0.0538,-0.0171,-0.0415,-0.0981,-0.0048,0.0535,-0.0356,-0.0018
4.8996,0.0185,0.3410,0.4436,-0.0402,0.0130,-0.0046,0.1994,0.4377,0.9345,-0.0683,0.0131,-0.0054
4.9098,0.1150,0.0243,-0.0247,-0.1616,-0.0039,-0.0174,0.3648,3.0652,2.8309,-0.0645,-0.0366,-0.0133
4.9197,0.1194,0.0326,-0.0230,-0.1550,-0.0046,-0.0164,0.3606,3.0350,2.8334,-0.0713,-0.0259,-0.0125
5.0262,0.7387,0.3233,-0.0782,1.4536,-2.9954,2.9387,-2.9616,2.9402,2.8929,0.1974,0.0103,-0.0104
5.0365,0.1332,0.0722,-0.0152,-0.5853,-1.3019,-0.1468,0.7177,2.8762,2.5603,-0.1090,0.0383,-0.0096
5.0471,0.1295,0.0867,-0.0098,-0.1670,-1.0583,0.2153,0.2308,1.5627,1.6698,-0.1210,0.0663,-0.0074
5.0583,0.0946,0.0015,-0.0119,-0.0987,0.0042,-0.0090,0.1361,-0.0200,-0.0147,-0.3539,2.4871,2.9424
5.0701,0.0755,0.0440,-0.0031,-0.1364,-0.0860,0.6298,0.0793,0.0323,-0.0039,-0.1610,-0.1417,0.4195
5.0816,0.1866,0.1152,-0.0174,0.0586,-1.0488,0.2341,0.0010,2.2514,2.5687,-0.1461,0.0893,-0.0098
5.0925,0.1470,0.1288,0.0000,0.7529,-1.1211,0.9507,-1.0540,-1.3610,-0.5539,-0.0901,0.1377,0.0017
5.1022,0.1205,0.0594,-0.0181,0.9029,1.2392,0.8386,-0.6185,1.0669,1.9644,-0.1469,0.0202,-0.0151
5.1126,0.1463,0.1275,-0.0008,0.7303,-1.1840,0.9230,-1.0347,-1.3520,-0.5737,-0.0914,0.1375,0.0007
5.1224,0.1213,0.0576,-0.0194,0.8372,1.2532,0.7967,-0.5243,1.3034,2.1683,-0.1491,0.0166,-0.0161
5.3030,0.1466,0.1260,-0.0021,0.7045,-1.2464,0.8930,-1.0145,-1.3386,-0.5910,-0.0913,0.1362,-0.0006
5.3150,0.1243,0.0544,-0.0205,0.8685,1.2705,0.8357,-0.5629,1.2517,2.1460,-0.1498,0.0151,-0.0169
5.3399,0.1484,0.1251,-0.0035,0.6752,-1.3108,0.8601,-0.9934,-1.3223,-0.6070,-0.0903,0.1345,-0.0021
5.3519,0.2164,0.1177,-0.0204,0.0940,-0.0357,0.0089,-0.2925,1.6957,2.4299,-0.0822,0.0558,-0.0072
5.3681,0.1373,0.0848,-0.0127,-0.1795,-1.3119,0.1465,0.1828,1.3409,1.5238,-0.1191,0.0709,-0.0102
5.3792,0.1352,0.0427,-0.0224,-0.0974,-0.0041,-0.0107,0.3365,2.6177,2.9518,-0.1370,0.0098,-0.0167
5.4000,0.1394,0.0805,-0.0133,-0.1844,-1.3561,0.1322,0.1747,1.3038,1.4910,-0.1180,0.0672,-0.0109
5.4052,0.1331,0.0259,-0.0242,0.9702,1.3301,0.9701,-0.6826,1.1030,2.0704,-0.1583,-0.0105,-0.0207
5.4311,-0.9722,-0.2043,0.0974,-0.6470,0.5516,0.0223,-0.0948,0.9390,0.5066,2.9271,-2.7344,2.8036
5.4522,0.0909,0.0456,-0.0069,-0.1007,-0.2490,0.6105,0.1055,0.0454,-0.0036,-0.2710,-0.2012,0.4110
5.5132,0.1646,0.0598,-0.0135,-0.3279,-0.4248,0.5929,-0.0217,-0.0083,-0.0006,0.0127,-0.0454,-0.0044
5.5230,0.0378,0.0156,-0.0049,0.0776,0.5456,0.6685,0.0750,0.0137,-0.0052,-0.2878,-0.0933,0.6016
5.5340,0.1311,0.0391,-0.0126,-0.1870,-0.0273,0.6393,-0.0561,-0.0334,-0.0006,0.0065,-0.0600,-0.0057
5.5435,-0.0233,0.0099,0.0027,-0.0485,0.0455,-0.0027,0.0931,0.0407,-0.0040,-0.0741,0.5782,0.9205
5.5534,-2.9904,-3.0027,2.9916,-0.3555,0.2104,-0.0531,0.2748,0.2823,-0.0223,2.9429,1.8671,2.8631
5.5637,0.5107,-1.4863,-0.0318,-0.1633,0.1085,-0.0135,0.1854,0.0910,-0.0109,-0.6775,2.8998,2.8978
5.5732,-0.4673,0.0147,0.0579,-0.0796,0.2287,0.0426,0.4684,0.3700,0.0063,0.2642,-2.9688,-0.1711
5.5834,0.0433,0.0289,-0.0013,0.0197,-0.0085,0.0022,0.0478,0.3542,0.7317,-0.0760,0.0283,-0.0037
5.6056,-0.5466,-1.0057,1.1069,-0.2076,0.1503,-0.0032,0.0197,0.0893,0.0029,1.1359,-1.4424,-0.7086
5.6162,-1.5168,1.2416,1.1622,-0.1297,0.0785,-0.0139,0.1377,0.0679,-0.0095,1.4124,-0.2065,1.0881
5.7284,0.2900,-1.3124,0.1361,-0.1334,0.0906,-0.0093,0.1202,0.0740,-0.0068,-0.3022,1.6105,1.6726
5.7380,0.2963,-1.3167,0.1150,-0.1313,0.0906,-0.0097,0.1213,0.0741,-0.0075,-0.3106,1.5926,1.6571
5.7515,0.3026,-1.3519,0.1130,-0.1337,0.0914,-0.0098,0.1207,0.0759,-0.0074,-0.3113,1.6070,1.6761
5.7732,-0.3204,-0.1371,0.3869,-0.0975,0.0675,-0.0113,0.1737,0.0746,-0.0125,0.0494,1.3589,1.8894
5.7867,-0.5009,-1.2493,0.9971,-0.2128,0.1474,-0.0076,-0.0019,0.0802,0.0028,1.1552,-1.2450,-0.6751
5.7999,-1.4537,2.8609,1.7774,-0.1427,0.0722,-0.0235,0.3536,0.0248,-0.0342,0.6645,1.0529,2.8600
5.8143,-1.8403,1.3630,1.6414,-0.1377,0.0911,-0.0113,0.1159,0.0747,-0.0086,1.9155,-1.6725,-0.1411
5.8235,-1.0670,1.2316,0.7753,-0.0649,0.0352,-0.0148,0.2349,0.0675,-0.0206,0.5136,1.0507,2.1335
5.8351,-1.7177,1.1106,1.5942,-0.1454,0.0922,-0.0122,0.1063,0.0724,-0.0088,1.8453,-1.6293,-0.2028
5.8459,-1.1068,1.2555,0.8209,-0.0680,0.0279,-0.0164,0.2385,0.0581,-0.0225,0.5582,1.0059,2.1140
5.9363,-1.8510,1.3549,1.6799,-0.1389,0.0817,-0.0133,0.1187,0.0673,-0.0107,1.9232,-1.6703,-0.1658
5.9506,-0.0702,-0.0433,0.0038,-0.2338,0.0706,-0.0293,-0.0660,-0.0249,-0.0029,0.5375,1.9713,2.2314
5.9641,0.2393,-1.3697,0.0968,-0.1409,0.0760,-0.0140,0.1179,0.0618,-0.0114,-0.2082,1.4041,1.5733
5.9791,-1.9087,2.8658,2.1396,-0.0125,-0.0096,-0.0186,0.5924,0.0295,-0.0533,0.4039,0.8514,2.9328
5.9948,0.1799,0.2265,0.8026,-0.0526,0.0363,-0.0027,0.0263,-0.7334,0.0557,-0.0514,0.0378,-0.0006
6.0081,0.1181,0.1624,0.6993,-0.0337,0.0351,-0.0026,0.0540,-0.6952,0.0077,-0.0539,0.0348,-0.0011
6.0232,0.3804,0.1743,0.8065,-0.1938,0.0538,-0.0171,-0.0415,-0.0978,-0.0048,0.0536,-0.0352,-0.0018
6.0336,0.0170,0.0418,0.0012,-0.0126,0.0146,0.0001,0.3422,0.5877,1.0806,-0.1774,0.0673,-0.0075
6.0535,0.2599,0.1179,0.4986,-0.0884,0.0344,-0.0060,0.0823,0.3887,0.8967,-0.0767,0.0337,-0.0045
6.0670,0.1206,0.0324,-0.0233,-0.1501,-0.0062,-0.0160,0.3570,3.0146,2.8606,-0.0764,-0.0242,-0.0129
6.1495,0.6013,0.3528,-0.0470,0.8580,-2.9753,2.9297,-1.4161,1.9650,2.8840,-0.2329,0.1516,-0.0233
6.1688,0.1269,0.0858,-0.0097,-0.1567,-1.0382,0.2200,0.2251,1.5542,1.6624,-0.1206,0.0657,-0.0075
6.1801,0.0749,0.0434,-0.0032,-0.1290,-0.0638,0.6341,0.0793,0.0316,-0.0039,-0.1668,-0.1341,0.4334
6.1948,-0.0305,-0.0194,0.0017,-0.0913,0.0206,-0.0092,-0.0127,0.0003,-0.0010,0.1897,0.7463,0.9844
6.2087,0.0828,0.0494,-0.0039,-0.0331,-0.0691,0.7359,0.1075,0.0358,-0.0048,-0.3274,-0.4006,0.2244
6.2245,0.1812,0.0853,-0.0266,1.3075,1.5592,0.9673,-1.0019,1.7480,2.9471,-0.1764,0.0362,-0.0178
6.2447,0.1334,0.0912,-0.0095,-0.1331,-1.1418,0.2267,0.1652,1.3821,1.5514,-0.1206,0.0749,-0.0071
6.2632,0.1192,0.0555,-0.0191,0.8064,1.2381,0.7609,-0.4879,1.3616,2.1910,-0.1494,0.0131,-0.0160
6.2794,0.1310,0.0920,-0.0100,1.6853,1.2265,1.4875,-1.7032,-1.4017,0.0292,-0.1183,0.0760,-0.0077
6.2909,0.1463,0.1270,-0.0018,0.7076,-1.2436,0.8918,-1.0138,-1.3412,-0.5900,-0.0930,0.1386,-0.0004
6.3452,0.1464,0.1257,-0.0021,0.7045,-1.2570,0.8912,-1.0138,-1.3418,-0.5947,-0.0920,0.1364,-0.0008
6.3557,0.1397,0.0462,-0.0256,-0.1355,-0.0047,-0.0158,0.3308,2.8844,2.9574,-0.0924,-0.0074,-0.0154
6.3682,0.2376,0.1056,-0.0315,0.1550,-1.5864,0.0229,-0.3998,2.8875,2.9384,-0.0272,0.0604,-0.0078
6.3796,0.1355,0.0841,-0.0124,-0.1811,-1.3116,0.1428,0.1888,1.3444,1.5256,-0.1195,0.0708,-0.0101
6.3912,0.1359,0.0840,-0.0124,-0.1821,-1.3215,0.1430,0.1877,1.3428,1.5266,-0.1194,0.0708,-0.0101
6.4016,0.1312,0.0183,-0.0261,-0.1345,-0.0016,-0.0160,0.3237,2.8821,2.9611,-0.0831,-0.0313,-0.0163
6.4121,0.1988,0.0860,-0.0251,-0.4467,-1.9271,-0.2459,0.4492,2.8880,2.9370,-0.1363,0.0691,-0.0168
6.4282,0.1423,0.0758,-0.0141,-0.1933,-1.4068,0.1113,0.1737,1.2782,1.4671,-0.1186,0.0638,-0.0114
6.4453,0.1390,0.0754,-0.0132,-0.1943,-1.4130,0.1106,0.1752,1.2696,1.4608,-0.1172,0.0636,-0.0108
6.4563,-0.4971,-0.0334,0.0548,-0.2998,0.4442,0.0525,-1.7002,2.8836,2.9525,2.9289,-2.7538,2.8219
6.5482,0.0547,0.0117,-0.0056,0.0543,0.6741,0.7744,0.0713,0.0106,-0.0051,-0.2871,-0.0982,0.6926
6.5600,0.0395,0.0157,-0.0051,0.0780,0.5406,0.6700,0.0789,0.0145,-0.0054,-0.2980,-0.1010,0.6010
6.5721,0.1151,0.0106,-0.0142,-0.0488,0.8595,0.8673,-0.1229,-0.0833,-0.0012,0.0207,-0.1112,-0.0065
6.5828,-0.0241,0.0031,0.0021,-0.0765,0.0503,-0.0066,0.0643,0.0268,-0.0038,0.0104,0.8764,1.1553
6.6007,-2.9342,-2.8868,2.8479,0.4509,-0.1656,-0.0109,0.7425,0.4449,-0.0398,-0.0085,2.9952,2.8145
6.6121,0.2029,-1.3315,0.0952,-0.1957,0.1116,-0.0192,0.1218,0.0790,-0.0086,-0.2057,2.8982,2.9072
6.6222,-1.7918,1.3803,1.5363,-0.1396,0.0947,-0.0090,0.1078,0.0716,-0.0059,1.8783,-1.6028,-0.0374
6.6325,0.1440,-0.0019,-0.0223,-0.1309,0.0129,-0.0176,0.1558,2.4981,2.9520,0.0096,0.8069,0.7776
6.6440,0.2325,0.3439,0.6888,-0.0887,0.0395,-0.0047,0.1115,0.0074,0.6967,-0.0754,0.0234,-0.0054
6.6541,-1.7248,1.3508,1.4845,-0.1310,0.0887,-0.0094,0.1199,0.0718,-0.0071,1.7559,-1.4011,0.0939
6.7624,-1.8277,1.3887,1.5934,-0.1398,0.0951,-0.0090,0.1103,0.0744,-0.0060,1.9150,-1.6695,-0.1045
6.7738,-1.4255,1.2795,1.1628,-0.1003,0.0687,-0.0110,0.1694,0.0724,-0.0116,1.2061,-0.3488,0.9428
6.7858,0.3089,-1.3625,0.1097,-0.1340,0.0916,-0.0098,0.1202,0.0757,-0.0074,-0.3155,1.6132,1.6779
6.7993,-1.2469,2.7932,1.8671,-0.0932,-0.0476,-0.0466,0.0905,-0.1997,-0.0358,0.4929,2.8122,2.9393
6.8109,0.3155,-1.4229,0.0799,-0.1362,0.0932,-0.0108,0.1184,0.0774,-0.0082,-0.3025,1.5433,1.6269
6.8298,0.3208,-1.4472,0.0792,-0.1372,0.0911,-0.0112,0.1180,0.0762,-0.0086,-0.3029,1.5488,1.6341
6.8447,0.2844,-1.3782,0.0980,-0.1352,0.0887,-0.0114,0.1201,0.0744,-0.0091,-0.2795,1.5336,1.6463
6.8625,-0.0055,-0.0409,-0.0040,-0.2487,0.0888,-0.0340,-0.0762,-0.0496,-0.0033,0.4266,2.8938,2.9464
6.8725,0.1010,-0.0045,-0.0111,-0.1371,0.0489,-0.0229,0.1349,0.0128,-0.0168,-0.3217,2.6491,2.9512
6.8826,0.0919,-2.0370,-0.2302,-0.0881,0.0645,-0.0106,0.1279,0.1216,-0.0096,-0.1747,1.7181,1.7147
6.9516,0.3371,-1.5314,0.0507,-0.1417,0.0842,-0.0129,0.1118,0.0677,-0.0100,-0.2835,1.4735,1.5678
6.9618,-1.5013,2.8835,1.6259,-0.2418,0.0559,-0.0374,0.1601,-0.0616,-0.0241,1.3255,1.3338,2.9502
6.9713,0.3461,-1.5676,0.0354,-0.1463,0.0801,-0.0139,0.1087,0.0628,-0.0106,-0.2733,1.4453,1.5394
6.9810,-1.0093,1.6630,1.1117,-0.1079,0.0235,-0.0195,0.2355,-0.0037,-0.0251,0.5616,0.7309,1.9447
6.9908,0.1809,0.2318,0.8070,-0.0536,0.0365,-0.0028,0.0294,-0.7317,0.0621,-0.0523,0.0379,-0.0007
7.0008,0.1215,0.1684,0.7059,-0.0355,0.0354,-0.0027,0.0559,-0.6931,0.0154,-0.0546,0.0348,-0.0011
7.0120,0.3834,0.1829,0.8114,-0.1951,0.0538,-0.0173,-0.0423,-0.0988,-0.0048,0.0540,-0.0356,-0.0018
7.0259,0.2311,0.1279,0.4573,-0.0852,0.0337,-0.0065,0.1448,0.4527,0.9824,-0.0991,0.0366,-0.0059
7.0404,0.8132,0.2999,1.0852,-0.1991,0.0695,-0.0135,-0.3887,0.1658,0.8131,0.0122,0.0154,-0.0020
7.0572,0.1204,0.0324,-0.0233,-0.1504,-0.0062,-0.0160,0.3579,3.0165,2.8608,-0.0765,-0.0244,-0.0129
7.1366,0.6536,0.3127,-0.0614,0.0608,-2.5812,2.9363,-0.9273,2.9077,2.9056,-0.0514,-0.0472,-0.0281
7.1555,0.1262,0.0853,-0.0096,-0.1588,-1.0403,0.2163,0.2277,1.5490,1.6545,-0.1201,0.0657,-0.0074
7.1736,0.0779,0.0479,-0.0035,-0.0381,-0.0473,0.7349,0.1004,0.0350,-0.0044,-0.2982,-0.4208,0.2038
7.1900,-0.0301,-0.0192,0.0017,-0.0902,0.0208,-0.0090,-0.0104,0.0008,-0.0010,0.1841,0.7434,0.9858
7.2067,0.0822,0.0494,-0.0039,-0.0298,-0.0759,0.7362,0.1073,0.0359,-0.0047,-0.3287,-0.4091,0.2136
